value,chindex,chlabel,bini,binlabel,SubjID
1.292,24,FC2,43,Correct_Responses,S106
-0.626,25,F4,43,Correct_Responses,S106
-1.283,26,F8,43,Correct_Responses,S106
-2.116,27,FP2,43,Correct_Responses,S106
-5.005,1,FP1,44,Incorrect_Responses,S106
-1.942,2,Fz,44,Incorrect_Responses,S106
-2.566,3,F3,44,Incorrect_Responses,S106
-2.766,4,F7,44,Incorrect_Responses,S106
-2.568,5,FC5,44,Incorrect_Responses,S106
-2.200,6,FC1,44,Incorrect_Responses,S106
-2.524,7,C3,44,Incorrect_Responses,S106
-3.257,8,T7,44,Incorrect_Responses,S106
-1.391,9,CP5,44,Incorrect_Responses,S106
-0.381,10,CP1,44,Incorrect_Responses,S106
2.483,11,Pz,44,Incorrect_Responses,S106
2.584,12,P3,44,Incorrect_Responses,S106
0.569,13,P7,44,Incorrect_Responses,S106
4.950,14,O1,44,Incorrect_Responses,S106
7.167,15,O2,44,Incorrect_Responses,S106
3.724,16,P4,44,Incorrect_Responses,S106
2.018,17,P8,44,Incorrect_Responses,S106
-0.119,18,CP6,44,Incorrect_Responses,S106
0.809,19,CP2,44,Incorrect_Responses,S106
-1.789,20,CZ,44,Incorrect_Responses,S106
-0.485,21,C4,44,Incorrect_Responses,S106
-1.481,22,T8,44,Incorrect_Responses,S106
-1.697,23,FC6,44,Incorrect_Responses,S106
-1.631,24,FC2,44,Incorrect_Responses,S106
-2.735,25,F4,44,Incorrect_Responses,S106
-2.440,26,F8,44,Incorrect_Responses,S106
-4.129,27,FP2,44,Incorrect_Responses,S106
0.341,1,FP1,45,Hits_Minus_False_Alarms,S106
-2.491,2,Fz,45,Hits_Minus_False_Alarms,S106
-1.085,3,F3,45,Hits_Minus_False_Alarms,S106
-0.841,4,F7,45,Hits_Minus_False_Alarms,S106
-0.200,5,FC5,45,Hits_Minus_False_Alarms,S106
-0.569,6,FC1,45,Hits_Minus_False_Alarms,S106
1.057,7,C3,45,Hits_Minus_False_Alarms,S106
0.580,8,T7,45,Hits_Minus_False_Alarms,S106
0.886,9,CP5,45,Hits_Minus_False_Alarms,S106
-0.051,10,CP1,45,Hits_Minus_False_Alarms,S106
-0.212,11,Pz,45,Hits_Minus_False_Alarms,S106
0.090,12,P3,45,Hits_Minus_False_Alarms,S106
1.732,13,P7,45,Hits_Minus_False_Alarms,S106
0.662,14,O1,45,Hits_Minus_False_Alarms,S106
-0.568,15,O2,45,Hits_Minus_False_Alarms,S106
-2.132,16,P4,45,Hits_Minus_False_Alarms,S106
-1.815,17,P8,45,Hits_Minus_False_Alarms,S106
-2.327,18,CP6,45,Hits_Minus_False_Alarms,S106
-1.357,19,CP2,45,Hits_Minus_False_Alarms,S106
-0.351,20,CZ,45,Hits_Minus_False_Alarms,S106
-1.673,21,C4,45,Hits_Minus_False_Alarms,S106
-2.329,22,T8,45,Hits_Minus_False_Alarms,S106
