       value	     chindex	     chlabel	        bini	                     binlabel	         ERPset
      -4.272	          23	         FC6	          44	          Incorrect_Responses	S137_vsl_dprime
      -6.242	          24	         FC2	          44	          Incorrect_Responses	S137_vsl_dprime
      -5.536	          25	          F4	          44	          Incorrect_Responses	S137_vsl_dprime
      -3.998	          26	          F8	          44	          Incorrect_Responses	S137_vsl_dprime
      -4.548	          27	         FP2	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.614	           1	         FP1	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.797	           2	          Fz	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.798	           3	          F3	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -0.178	           4	          F7	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.599	           5	         FC5	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.797	           6	         FC1	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.870	           7	          C3	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -0.558	           8	          T7	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -2.022	           9	         CP5	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -2.233	          10	         CP1	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.244	          11	          Pz	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.658	          12	          P3	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -0.387	          13	          P7	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.306	          14	          O1	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.714	          15	          O2	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.662	          16	          P4	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.980	          17	          P8	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.621	          18	         CP6	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.655	          19	         CP2	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -0.663	          20	          CZ	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.685	          21	          C4	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.606	          22	          T8	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -0.589	          23	         FC6	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.415	          24	         FC2	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -1.009	          25	          F4	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
      -0.548	          26	          F8	          45	      Hits_Minus_False_Alarms	S137_vsl_dprime
